world_cup,date,team 1,team 2,score team 1,score team 2,penalties team 1,penalties team 2,Location,phase,attendance,year,host
2018 FIFA World Cup,6/30/2018,Uruguay,Portugal,2,1,,,Sochi,Round of 16,44190,2018,Russia
2018 FIFA World Cup,7/1/2018,Spain,Russia,1,1,3,4,Moscow,Round of 16,78011,2018,Russia
2018 FIFA World Cup,7/1/2018,Croatia,Denmark,1,1,3,2,Nizhny Novgorod,Round of 16,43319,2018,Russia
2018 FIFA World Cup,7/2/2018,Brazil,Mexico,2,0,,,Samara,Round of 16,41970,2018,Russia
2018 FIFA World Cup,7/2/2018,Belgium,Japan,3,2,,,Rostov-on-Don,Round of 16,43472,2018,Russia
2018 FIFA World Cup,7/3/2018,Sweden,Switzerland,1,0,,,Saint Petersburg,Round of 16,64042,2018,Russia
2018 FIFA World Cup,7/3/2018,Colombia,England,1,1,3,4,Moscow,Round of 16,44190,2018,Russia
2018 FIFA World Cup,7/6/2018,Uruguay,France,0,2,,,Nizhny Novgorod,Quarter-finals,43319,2018,Russia
2018 FIFA World Cup,7/6/2018,Brazil,Belgium,1,2,,,Kazan,Quarter-finals,42873,2018,Russia
2018 FIFA World Cup,7/7/2018,Sweden,England,0,2,,,Samara,Quarter-finals,39991,2018,Russia
2018 FIFA World Cup,7/7/2018,Russia,Croatia,2,2,3,4,Sochi,Quarter-finals,44287,2018,Russia
2018 FIFA World Cup,7/10/2018,France,Belgium,1,0,,,Saint Petersburg,Semi-finals,64286,2018,Russia
2018 FIFA World Cup,7/11/2018,Croatia,England,2,1,,,Moscow,Semi-finals,78011,2018,Russia
2018 FIFA World Cup,7/14/2018,Belgium,England,2,0,,,Saint Petersburg,Third-place,64406,2018,Russia
2018 FIFA World Cup,7/15/2018,France,Croatia,4,2,,,Moscow,Final,78011,2018,Russia
2022 FIFA World Cup,11/20/2022,Qatar,Ecuador,0,2,,,Qatar,Group stage,67372,2022,Qatar
2022 FIFA World Cup,11/21/2022,England,Iran,6,2,,,Qatar,Group stage,45334,2022,Qatar
2022 FIFA World Cup,11/21/2022,Senegal,Netherlands,0,2,,,Qatar,Group stage,41721,2022,Qatar
2022 FIFA World Cup,11/21/2022,United States,Wales,1,1,,,Qatar,Group stage,43418,2022,Qatar
2022 FIFA World Cup,11/22/2022,Argentina,Saudi Arabia,1,2,,,Qatar,Group stage,88012,2022,Qatar
2022 FIFA World Cup,11/22/2022,Denmark,Tunisia,0,0,,,Qatar,Group stage,42925,2022,Qatar
2022 FIFA World Cup,11/22/2022,France,Australia,4,1,,,Qatar,Group stage,40875,2022,Qatar
2022 FIFA World Cup,11/22/2022,Mexico,Poland,0,0,,,Qatar,Group stage,39369,2022,Qatar
2022 FIFA World Cup,11/23/2022,Belgium,Canada,1,0,,,Qatar,Group stage,40432,2022,Qatar
2022 FIFA World Cup,11/23/2022,Germany,Japan,1,2,,,Qatar,Group stage,42608,2022,Qatar
2022 FIFA World Cup,11/23/2022,Morocco,Croatia,0,0,,,Qatar,Group stage,59407,2022,Qatar
2022 FIFA World Cup,11/23/2022,Spain,Costa Rica,7,0,,,Qatar,Group stage,40013,2022,Qatar
2022 FIFA World Cup,11/24/2022,Brazil,Serbia,2,0,,,Qatar,Group stage,88103,2022,Qatar
2022 FIFA World Cup,11/24/2022,Portugal,Ghana,3,2,,,Qatar,Group stage,42662,2022,Qatar
2022 FIFA World Cup,11/24/2022,Switzerland,Cameroon,1,0,,,Qatar,Group stage,39089,2022,Qatar
2022 FIFA World Cup,11/24/2022,Uruguay,South Korea,0,0,,,Qatar,Group stage,41663,2022,Qatar
2022 FIFA World Cup,11/25/2022,England,United States,0,0,,,Qatar,Group stage,68463,2022,Qatar
2022 FIFA World Cup,11/25/2022,Netherlands,Ecuador,1,1,,,Qatar,Group stage,44833,2022,Qatar
2022 FIFA World Cup,11/25/2022,Qatar,Senegal,1,3,,,Qatar,Group stage,41797,2022,Qatar
2022 FIFA World Cup,11/25/2022,Wales,Iran,0,2,,,Qatar,Group stage,40875,2022,Qatar
2022 FIFA World Cup,11/26/2022,Argentina,Mexico,2,0,,,Qatar,Group stage,88966,2022,Qatar
2022 FIFA World Cup,11/26/2022,France,Denmark,2,1,,,Qatar,Group stage,42860,2022,Qatar
2022 FIFA World Cup,11/26/2022,Poland,Saudi Arabia,2,0,,,Qatar,Group stage,44259,2022,Qatar
2022 FIFA World Cup,11/26/2022,Tunisia,Australia,0,1,,,Qatar,Group stage,41823,2022,Qatar
2022 FIFA World Cup,11/27/2022,Belgium,Morocco,0,2,,,Qatar,Group stage,43738,2022,Qatar
2022 FIFA World Cup,11/27/2022,Croatia,Canada,4,1,,,Qatar,Group stage,44374,2022,Qatar
2022 FIFA World Cup,11/27/2022,Japan,Costa Rica,0,1,,,Qatar,Group stage,41479,2022,Qatar
2022 FIFA World Cup,11/27/2022,Spain,Germany,1,1,,,Qatar,Group stage,68895,2022,Qatar
2022 FIFA World Cup,11/28/2022,Brazil,Switzerland,1,0,,,Qatar,Group stage,43649,2022,Qatar
2022 FIFA World Cup,11/28/2022,Cameroon,Serbia,3,3,,,Qatar,Group stage,39789,2022,Qatar
2022 FIFA World Cup,11/28/2022,South Korea,Ghana,2,3,,,Qatar,Group stage,43983,2022,Qatar
2022 FIFA World Cup,11/28/2022,Portugal,Uruguay,2,0,,,Qatar,Group stage,88668,2022,Qatar
2022 FIFA World Cup,11/29/2022,Ecuador,Senegal,1,2,,,Qatar,Group stage,44569,2022,Qatar
2022 FIFA World Cup,11/29/2022,Iran,United States,0,1,,,Qatar,Group stage,42127,2022,Qatar
2022 FIFA World Cup,11/29/2022,Netherlands,Qatar,2,0,,,Qatar,Group stage,66784,2022,Qatar
2022 FIFA World Cup,11/29/2022,Wales,England,0,3,,,Qatar,Group stage,44297,2022,Qatar
2022 FIFA World Cup,11/30/2022,Australia,Denmark,1,0,,,Qatar,Group stage,41232,2022,Qatar
2022 FIFA World Cup,11/30/2022,Poland,Argentina,0,2,,,Qatar,Group stage,44089,2022,Qatar
2022 FIFA World Cup,11/30/2022,Saudi Arabia,Mexico,1,2,,,Qatar,Group stage,84985,2022,Qatar
2022 FIFA World Cup,11/30/2022,Tunisia,France,1,0,,,Qatar,Group stage,43627,2022,Qatar
2022 FIFA World Cup,12/1/2022,Canada,Morocco,1,2,,,Qatar,Group stage,43102,2022,Qatar
2022 FIFA World Cup,12/1/2022,Costa Rica,Germany,2,4,,,Qatar,Group stage,67054,2022,Qatar
2022 FIFA World Cup,12/1/2022,Croatia,Belgium,0,0,,,Qatar,Group stage,43984,2022,Qatar
2022 FIFA World Cup,12/1/2022,Japan,Spain,2,1,,,Qatar,Group stage,44851,2022,Qatar
2022 FIFA World Cup,12/2/2022,Cameroon,Brazil,1,0,,,Qatar,Group stage,85986,2022,Qatar
2022 FIFA World Cup,12/2/2022,Ghana,Uruguay,0,2,,,Qatar,Group stage,43443,2022,Qatar
2022 FIFA World Cup,12/2/2022,South Korea,Portugal,2,1,,,Qatar,Group stage,44097,2022,Qatar
2022 FIFA World Cup,12/2/2022,Serbia,Switzerland,2,3,,,Qatar,Group stage,41378,2022,Qatar
2022 FIFA World Cup,12/3/2022,Argentina ,Australia,2,1,,,Qatar,Round of 16,45032,2022,Qatar
2022 FIFA World Cup,12/3/2022,Netherlands ,United States,3,1,,,Qatar,Round of 16,44846,2022,Qatar
2022 FIFA World Cup,12/4/2022,England ,Senegal,3,0,,,Qatar,Round of 16,65985,2022,Qatar
2022 FIFA World Cup,12/4/2022,France ,Poland,3,1,,,Qatar,Round of 16,40989,2022,Qatar
2022 FIFA World Cup,12/5/2022,Brazil ,South Korea,4,1,,,Qatar,Round of 16,43847,2022,Qatar
2022 FIFA World Cup,12/5/2022,Japan ,Croatia,1,1,1,3,Qatar,Round of 16,42523,2022,Qatar
2022 FIFA World Cup,12/6/2022,Morocco ,Spain,0,0,3,0,Qatar,Round of 16,44667,2022,Qatar
2022 FIFA World Cup,12/6/2022,Portugal ,Switzerland,6,1,,,Qatar,Round of 16,83720,2022,Qatar
2022 FIFA World Cup,12/9/2022,Croatia ,Brazil,1,1,4,2,Qatar,Quarter-finals,43893,2022,Qatar
2022 FIFA World Cup,12/9/2022,Netherlands ,Argentina,2,2,3,4,Qatar,Quarter-finals,88235,2022,Qatar
2022 FIFA World Cup,12/10/2022,England ,France,1,2,,,Qatar,Quarter-finals,68895,2022,Qatar
2022 FIFA World Cup,12/10/2022,Morocco ,Portugal,1,0,,,Qatar,Quarter-finals,44198,2022,Qatar
2022 FIFA World Cup,12/13/2022,Argentina ,Croatia,3,0,,,Qatar,Semi-Finals,88966,2022,Qatar
2022 FIFA World Cup,12/14/2022,France ,Morocco,2,0,,,Qatar,Semi-Finals,68294,2022,Qatar
2022 FIFA World Cup,12/17/2022,Croatia ,Morocco,2,1,,,Qatar,Third-place,44137,2022,Qatar
2022 FIFA World Cup,12/18/2022,Argentina ,France,3,3,4,2,Qatar,Final,88966,2022,Qatar
